"Participant" "Bias" "Named" "AGEYEAR" "DiscardTrial"
"499" "P15Task1" "ABC" "B" "Three" 0
"500" "P15Task1" "CBA" "B" "Three" 0
"501" "P15Task1" "CBA" "C" "Three" 0
"502" "P15Task1" "FLAT" "A" "Three" 0
"503" "P15Task1" "FLAT" "B" "Three" 0
"504" "P15Task1" "FLAT" "C" "Three" 0
"505" "P160Task2" "ABC" "A" "Two" 0.166666666666667
"506" "P160Task2" "ABC" "B" "Two" 0
"507" "P160Task2" "CBA" "B" "Two" 0
"508" "P160Task2" "CBA" "C" "Two" 0
"509" "P160Task2" "FLAT" "A" "Two" 0
"510" "P160Task2" "FLAT" "B" "Two" 0
"511" "P160Task2" "FLAT" "C" "Two" 0
"512" "P161Task2" "ABC" "A" "Three" 0
"513" "P161Task2" "ABC" "B" "Three" 0
"514" "P161Task2" "CBA" "B" "Three" 0
"515" "P161Task2" "CBA" "C" "Three" 0.25
"516" "P161Task2" "FLAT" "A" "Three" 0.5
"517" "P161Task2" "FLAT" "B" "Three" 0
"518" "P161Task2" "FLAT" "C" "Three" 0
"519" "P162Task2" "ABC" "A" "Three" 0
